Genes with Zero Fragment:

pseudo_name pseudo_chr pseudo_strand pseudo_start pseudo_end pseudo_size pseudo_fragment pseudo_fpkm pseudo_primary_fragment pseudo_secondary_fragment parent_name parent_chr parent_strand parent_start parent_end parent_size parent_fragment parent_fpkm parent_primary_fragment parent_secondary_fragment pseudo_type
341 PGOHUM00000238687 chr10 + 21093209 21093508 300 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Ambiguous
342 PGOHUM00000238688 chr10 + 21130285 21130482 198 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Ambiguous
360 PGOHUM00000258512 chr10 + 27602672 27602806 135 0 0 0 0 ENSP00000470908_ENST00000594133 chrHG1486_PATCH - 16699847 16713305 819 0 0 0 0 Ambiguous
394 PGOHUM00000264186 chr10 + 38739969 38740682 714 0 0 0 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
405 PGOHUM00000238748 chr10 + 42705963 42706118 156 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Ambiguous
410 PGOHUM00000261958 chr10 + 43078682 43078834 153 0 0 0 0 ENSP00000455112_ENST00000570263 chrHG1032_PATCH + 191094928 191096999 768 0 0 0 0 Ambiguous
430 PGOHUM00000262855 chr10 + 47742108 47742468 361 0 0 0 0 ENSP00000462814_ENST00000582383 chrHG1211_PATCH - 46310875 46313035 586 0 0 0 0 Ambiguous
436 PGOHUM00000262857 chr10 + 48249466 48249786 321 0 0 0 0 ENSP00000462814_ENST00000582383 chrHG1211_PATCH - 46310875 46313035 586 0 0 0 0 Ambiguous
499 PGOHUM00000238840 chr10 + 75297950 75298204 255 0 0 0 0 ENSP00000447677_ENST00000547899 chrHSCHR17_1 - 44566754 44567101 348 0 0 0 0 Processed
523 PGOHUM00000262860 chr10 + 88781862 88782143 282 0 0 0 0 ENSP00000462814_ENST00000582383 chrHG1211_PATCH - 46310875 46313035 586 0 0 0 0 Ambiguous
538 PGOHUM00000238884 chr10 + 91546363 91547051 689 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Ambiguous
554 PGOHUM00000262836 chr10 + 97916079 97920526 4448 0 0 0 0 ENSP00000459452_ENST00000572626 chrHG339_PATCH + 97889471 97922490 7269 0 0 0 0 Processed
622 PGOHUM00000262179 chr11 - 127395 128111 717 20 13.133295 20 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
623 PGOHUM00000264191 chr11 - 128929 129643 715 3 1.975505 3 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
760 PGOHUM00000242239 chr11 - 49834064 49834578 515 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Ambiguous
782 PGOHUM00000242256 chr11 - 51526873 51527799 927 1 0.507906 1 0 ENSP00000456444_ENST00000561558 chrHG281_PATCH - 50003005 50004067 1063 0 0 0 0 Processed
783 PGOHUM00000242257 chr11 - 55040951 55041467 517 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Ambiguous
788 PGOHUM00000262183 chr11 - 55670846 55671753 908 0 0 0 0 ENSP00000458329_ENST00000574470 chrHG142_HG150_NOVEL_TEST + 56150705 56152269 936 0 0 0 0 Processed
866 PGOHUM00000258569 chr11 - 67479232 67483472 660 6 4.28026 6 0 ENSP00000414037_ENST00000427326 chrGL000222.1 + 129788 134089 645 0 0 0 0 Duplicated
885 PGOHUM00000263556 chr11 - 71468506 71468676 171 0 0 0 0 ENSP00000470948_ENST00000594215 chr8 - 8046157 8046330 174 0 0 0 0 Processed
909 PGOHUM00000242380 chr11 - 81266945 81267464 520 0 0 0 0 ENSP00000354665_ENST00000361681 chrMT - 14148 14672 525 0 0 0 0 Processed
930 PGOHUM00000242402 chr11 - 87525923 87527047 1125 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Processed
941 PGOHUM00000242413 chr11 - 89668654 89669180 527 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Ambiguous
972 PGOHUM00000262185 chr11 - 102733833 102745666 1516 0 0 0 0 ENSP00000458585_ENST00000571244 chrHG305_PATCH - 102733466 102745764 1874 0 0 0 0 Duplicated
974 PGOHUM00000242446 chr11 - 103272733 103273311 579 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Processed
975 PGOHUM00000242447 chr11 - 103273315 103273988 674 0 0 0 0 ENSP00000354632_ENST00000361899 chrMT + 8526 9206 681 0 0 0 0 Processed
976 PGOHUM00000242448 chr11 - 103274236 103274894 659 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Processed
977 PGOHUM00000242449 chr11 - 103275039 103276554 1516 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Processed
978 PGOHUM00000242450 chr11 - 103276946 103277968 1023 0 0 0 0 ENSP00000355046_ENST00000361453 chrMT + 4469 5510 1042 0 0 0 0 Processed
979 PGOHUM00000242451 chr11 - 103278171 103279103 933 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Processed
987 PGOHUM00000242462 chr11 - 105065179 105065672 494 0 0 0 0 ENSP00000393371_ENST00000422576 chrHSCHR6_MHC_MCF + 29079817 29080590 774 0 0 0 0 Ambiguous
1004 PGOHUM00000242479 chr11 - 110747716 110747886 171 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Ambiguous
1027 PGOHUM00000242501 chr11 - 118560745 118561441 526 0 0 0 0 ENSP00000472102_ENST00000598751 chrHG122_PATCH - 118529023 118550364 1645 0 0 0 0 Duplicated
1042 PGOHUM00000242516 chr11 - 123010587 123011102 516 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Ambiguous
1086 PGOHUM00000263559 chr11 + 3486553 3486720 168 0 0 0 0 ENSP00000470948_ENST00000594215 chr8 - 8046157 8046330 174 0 0 0 0 Processed
1129 PGOHUM00000242594 chr11 + 11261401 11261721 321 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Ambiguous
1136 PGOHUM00000263377 chr11 + 13984451 14157113 785 0 0 0 0 ENSP00000460236_ENST00000576479 chrHG256_PATCH + 13984235 14289350 4757 0 0 0 0 Duplicated
1137 PGOHUM00000263378 chr11 + 14276074 14287229 1515 0 0 0 0 ENSP00000460236_ENST00000576479 chrHG256_PATCH + 13984235 14289350 4757 0 0 0 0 Duplicated
1184 PGOHUM00000242644 chr11 + 39787780 39788423 644 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
1185 PGOHUM00000242645 chr11 + 39788568 39788798 231 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Ambiguous
1200 PGOHUM00000242662 chr11 + 47345525 47345731 207 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Ambiguous
1204 PGOHUM00000242666 chr11 + 48441795 48442722 928 0 0 0 0 ENSP00000456444_ENST00000561558 chrHG281_PATCH - 50003005 50004067 1063 0 0 0 0 Processed
1218 PGOHUM00000242682 chr11 + 48994494 48995020 527 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Ambiguous
1275 PGOHUM00000242733 chr11 + 56507654 56508558 905 0 0 0 0 ENSP00000458970_ENST00000571130 chrHG151_NOVEL_TEST + 56478941 56479858 918 0 0 0 0 Processed
1331 PGOHUM00000242785 chr11 + 71574517 71574700 184 0 0 0 0 ENSP00000382951_ENST00000400079 chr8 - 12168470 12175824 240 0 0 0 0 Processed
1344 PGOHUM00000242798 chr11 + 73221705 73221875 171 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
1354 PGOHUM00000242810 chr11 + 76967143 76967896 754 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Ambiguous
1360 PGOHUM00000242815 chr11 + 81262617 81262784 168 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Ambiguous
1361 PGOHUM00000242816 chr11 + 81262866 81263192 327 0 0 0 0 ENSP00000355206_ENST00000361227 chrMT + 10058 10403 346 0 0 0 0 Ambiguous
1362 PGOHUM00000242817 chr11 + 81263267 81263580 314 0 0 0 0 ENSP00000354728_ENST00000361335 chrMT + 10469 10765 297 0 0 0 0 Processed
1363 PGOHUM00000242818 chr11 + 81263577 81264944 1368 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Processed
1364 PGOHUM00000242819 chr11 + 81265178 81266935 1758 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Processed
1365 PGOHUM00000242820 chr11 + 81267538 81268389 852 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Processed
1395 PGOHUM00000242848 chr11 + 89641698 89642224 527 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Ambiguous
1444 PGOHUM00000262195 chr11 + 113102357 113103087 357 0 0 0 0 ENSP00000467954_ENST00000589067 chrHG306_PATCH + 112831996 113146108 2993 0 0 0 0 Ambiguous
1445 PGOHUM00000264199 chr11 + 113143646 113144476 831 0 0 0 0 ENSP00000460385_ENST00000576230 chrHG306_PATCH + 113130979 113148587 3807 0 0 0 0 Ambiguous
1511 PGOHUM00000239308 chr12 - 7772482 7772855 374 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Ambiguous
1512 PGOHUM00000239309 chr12 - 7789991 7799681 700 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Duplicated
1518 PGOHUM00000239315 chr12 - 8352239 8352370 132 0 0 0 0 ENSP00000382951_ENST00000400079 chr8 - 12168470 12175824 240 0 0 0 0 Ambiguous
1536 PGOHUM00000239330 chr12 - 9561391 9561671 281 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
1547 PGOHUM00000239339 chr12 - 11200958 11201854 897 0 0 0 0 ENSP00000461514_ENST00000574336 chrHG1133_PATCH - 11174216 11175217 1002 0 0 0 0 Processed
1548 PGOHUM00000239341 chr12 - 11229944 11230840 897 0 0 0 0 ENSP00000461514_ENST00000574336 chrHG1133_PATCH - 11174216 11175217 1002 0 0 0 0 Processed
1561 PGOHUM00000239356 chr12 - 13174198 13174536 339 0 0 0 0 ENSP00000447677_ENST00000547899 chrHSCHR17_1 - 44566754 44567101 348 0 0 0 0 Processed
1584 PGOHUM00000263562 chr12 - 28180272 28180652 381 0 0 0 0 ENSP00000469689_ENST00000601538 chrHG865_PATCH - 70313960 71020866 10638 0 0 0 0 Ambiguous
1591 PGOHUM00000239391 chr12 - 31400332 31400695 364 0 0 0 0 ENSP00000354665_ENST00000361681 chrMT - 14148 14672 525 0 0 0 0 Processed
1617 PGOHUM00000263564 chr12 - 42092296 42092971 676 0 0 0 0 ENSP00000355046_ENST00000361453 chrMT + 4469 5510 1042 0 0 0 0 Ambiguous
1618 PGOHUM00000239419 chr12 - 42093195 42094052 858 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Processed
1648 PGOHUM00000250996 chr12 - 50611454 50611705 252 0 0 0 0 ENSP00000447677_ENST00000547899 chrHSCHR17_1 - 44566754 44567101 348 0 0 0 0 Ambiguous
1721 PGOHUM00000239521 chr12 - 76082569 76082875 307 0 0 0 0 ENSP00000470743_ENST00000595651 chrHG1497_PATCH + 153605839 153609948 2318 0 0 0 0 Ambiguous
1832 PGOHUM00000263566 chr12 + 7080086 7084967 799 0 0 0 0 ENSP00000470560_ENST00000599672 chrHG344_PATCH + 7079943 7085165 1072 0 0 0 0 Duplicated
1843 PGOHUM00000263567 chr12 + 8426687 8426857 171 0 0 0 0 ENSP00000470948_ENST00000594215 chr8 - 8046157 8046330 174 0 0 0 0 Processed
1857 PGOHUM00000239658 chr12 + 9475299 9475582 284 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
1921 PGOHUM00000239720 chr12 + 31399623 31400321 699 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Ambiguous
1922 PGOHUM00000239721 chr12 + 31401233 31402172 870 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Duplicated
1946 PGOHUM00000239747 chr12 + 40680081 40680463 383 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
2041 PGOHUM00000239848 chr12 + 69816456 69816771 316 0 0 0 0 ENSP00000447677_ENST00000547899 chrHSCHR17_1 - 44566754 44567101 348 0 0 0 0 Processed
2117 PGOHUM00000239923 chr12 + 108572100 108572471 372 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Ambiguous
2146 PGOHUM00000239951 chr12 + 124794044 124794199 156 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Ambiguous
2304 PGOHUM00000248428 chr13 - 69283719 69284860 1142 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Ambiguous
2318 PGOHUM00000248440 chr13 - 76166424 76166546 123 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Ambiguous
2328 PGOHUM00000248449 chr13 - 85098051 85098209 159 0 0 0 0 ENSP00000354665_ENST00000361681 chrMT - 14148 14672 525 0 0 0 0 Ambiguous
2345 PGOHUM00000248466 chr13 - 96346235 96346748 514 0 0 0 0 ENSP00000354665_ENST00000361681 chrMT - 14148 14672 525 0 0 0 0 Processed
2385 PGOHUM00000248510 chr13 + 19956509 19957247 739 0 0 0 0 ENSP00000461135_ENST00000576892 chrHG1497_PATCH - 152795540 152806790 1289 0 0 0 0 Processed
2472 PGOHUM00000248602 chr13 + 54465721 54465893 173 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Ambiguous
2476 PGOHUM00000248606 chr13 + 57778516 57778937 422 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Ambiguous
2521 PGOHUM00000248652 chr13 + 85094364 85095653 1290 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Processed
2522 PGOHUM00000248653 chr13 + 85095940 85098040 1721 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Duplicated
2528 PGOHUM00000248659 chr13 + 89223905 89224468 564 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Ambiguous
2534 PGOHUM00000248665 chr13 + 96344791 96346225 1083 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Duplicated
2535 PGOHUM00000248666 chr13 + 96346834 96347955 1122 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Processed
2581 PGOHUM00000261842 chr14 - 20201690 20202418 729 0 0 0 0 ENSP00000393371_ENST00000422576 chrHSCHR6_MHC_MCF + 29079817 29080590 774 0 0 0 0 Ambiguous
2615 PGOHUM00000247761 chr14 - 32953304 32954005 702 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
2631 PGOHUM00000247777 chr14 - 39692182 39692490 309 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Ambiguous
2730 PGOHUM00000247878 chr14 - 84641864 84642037 174 0 0 0 0 ENSP00000354665_ENST00000361681 chrMT - 14148 14672 525 0 0 0 0 Ambiguous
2766 PGOHUM00000264433 chr14 - 106511790 106512091 302 0 0 0 0 ENSP00000475103_ENST00000604930 chrHG1592_PATCH - 106734944 106735476 430 0 0 0 0 Processed
2770 PGOHUM00000247927 chr14 - 106627548 106627737 190 0 0 0 0 ENSP00000475103_ENST00000604930 chrHG1592_PATCH - 106734944 106735476 430 0 0 0 0 Ambiguous
2774 PGOHUM00000247931 chr14 - 106714361 106714681 321 1 1.466756 1 0 ENSP00000474379_ENST00000603914 chrHG1592_PATCH - 107023274 107023813 437 0 0 0 0 Processed
2776 PGOHUM00000262209 chr14 - 106745621 106745932 312 0 0 0 0 ENSP00000475103_ENST00000604930 chrHG1592_PATCH - 106734944 106735476 430 0 0 0 0 Processed
2805 PGOHUM00000247977 chr14 - 107122094 107122414 321 0 0 0 0 ENSP00000474379_ENST00000603914 chrHG1592_PATCH - 107023274 107023813 437 0 0 0 0 Processed
2809 PGOHUM00000264434 chr14 - 107159864 107160169 306 0 0 0 0 ENSP00000474553_ENST00000604008 chrHG1592_PATCH - 106471433 106471910 393 0 0 0 0 Processed
2810 PGOHUM00000247986 chr14 - 107183397 107183716 320 0 0 0 0 ENSP00000474379_ENST00000603914 chrHG1592_PATCH - 107023274 107023813 437 0 0 0 0 Processed
2813 PGOHUM00000247990 chr14 - 107239989 107240276 288 0 0 0 0 ENSP00000475103_ENST00000604930 chrHG1592_PATCH - 106734944 106735476 430 0 0 0 0 Processed
2818 PGOHUM00000263583 chr14 + 19110155 19110373 219 0 0 0 0 ENSP00000461662_ENST00000576555 chrHSCHR10_1_CTG5 - 45682909 45693770 693 0 0 0 0 Ambiguous
2819 PGOHUM00000263584 chr14 + 19114431 19118314 464 0 0 0 0 ENSP00000470908_ENST00000594133 chrHG1486_PATCH - 16699847 16713305 819 0 0 0 0 Duplicated
2894 PGOHUM00000248122 chr14 + 31487651 31488043 393 0 0 0 0 ENSP00000461929_ENST00000581127 chrHG883_PATCH - 26655912 26662460 834 0 0 0 0 Processed
3021 PGOHUM00000248246 chr14 + 84639185 84639947 763 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Ambiguous
3022 PGOHUM00000248247 chr14 + 84640141 84641854 1714 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Processed
3023 PGOHUM00000248248 chr14 + 84642760 84643426 667 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Ambiguous
3028 PGOHUM00000248253 chr14 + 91232874 91233329 456 0 0 0 0 ENSP00000211372_ENST00000211372 chrHSCHR6_MHC_QBL + 33168625 33173128 613 0 0 0 0 Processed
3037 PGOHUM00000248260 chr14 + 95665570 95665689 120 0 0 0 0 ENSP00000354632_ENST00000361899 chrMT + 8526 9206 681 0 0 0 0 Ambiguous
3098 PGOHUM00000251161 chr15 - 22466057 22466368 312 0 0 0 0 ENSP00000474553_ENST00000604008 chrHG1592_PATCH - 106471433 106471910 393 0 0 0 0 Processed
3099 PGOHUM00000251163 chr15 - 22482835 22483143 309 0 0 0 0 ENSP00000474553_ENST00000604008 chrHG1592_PATCH - 106471433 106471910 393 0 0 0 0 Processed
3197 PGOHUM00000246753 chr15 - 40425970 40426743 774 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Ambiguous
3198 PGOHUM00000246754 chr15 - 40426968 40427414 447 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Ambiguous
3204 PGOHUM00000246760 chr15 - 41449369 41449542 174 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Ambiguous
3244 PGOHUM00000246799 chr15 - 58446614 58447084 471 0 0 0 0 ENSP00000354665_ENST00000361681 chrMT - 14148 14672 525 0 0 0 0 Ambiguous
3397 PGOHUM00000256748 chr15 + 20083795 20087664 573 1 0.82169 1 0 ENSP00000470908_ENST00000594133 chrHG1486_PATCH - 16699847 16713305 819 0 0 0 0 Duplicated
3410 PGOHUM00000263592 chr15 + 21005623 21006069 447 0 0 0 0 ENSP00000470175_ENST00000596945 chrGL000215.1 - 23515 25353 1839 0 0 0 0 Ambiguous
3415 PGOHUM00000263593 chr15 + 22012306 22012752 447 0 0 0 0 ENSP00000470175_ENST00000596945 chrGL000215.1 - 23515 25353 1839 0 0 0 0 Ambiguous
3512 PGOHUM00000247081 chr15 + 34686794 34687129 336 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Ambiguous
3516 PGOHUM00000247084 chr15 + 34833015 34833350 336 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Ambiguous
3523 PGOHUM00000247089 chr15 + 35688430 35688622 193 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Ambiguous
3544 PGOHUM00000247108 chr15 + 46633185 46633891 707 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Ambiguous
3561 PGOHUM00000247124 chr15 + 58442370 58442763 394 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Ambiguous
3562 PGOHUM00000247125 chr15 + 58442839 58443162 324 0 0 0 0 ENSP00000355206_ENST00000361227 chrMT + 10058 10403 346 0 0 0 0 Ambiguous
3563 PGOHUM00000247126 chr15 + 58443231 58443523 293 0 0 0 0 ENSP00000354728_ENST00000361335 chrMT + 10469 10765 297 0 0 0 0 Processed
3564 PGOHUM00000247127 chr15 + 58443520 58444703 1184 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Processed
3565 PGOHUM00000247128 chr15 + 58444832 58446593 1762 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Processed
3566 PGOHUM00000247129 chr15 + 58447176 58448257 1082 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Processed
3741 PGOHUM00000248703 chr16 - 3417463 3417582 120 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Ambiguous
3742 PGOHUM00000248704 chr16 - 3417718 3419245 1528 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Processed
3743 PGOHUM00000248705 chr16 - 3419596 3419742 147 0 0 0 0 ENSP00000355046_ENST00000361453 chrMT + 4469 5510 1042 0 0 0 0 Ambiguous
3744 PGOHUM00000248706 chr16 - 3419955 3420904 950 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Processed
